time,interesse,nome
2016-08-30T05:08:00-03:00,2,Fátima Bernardes
2016-08-30T05:16:00-03:00,3,Fátima Bernardes
2016-08-30T05:24:00-03:00,3,Fátima Bernardes
2016-08-30T05:32:00-03:00,4,Fátima Bernardes
2016-08-30T05:40:00-03:00,4,Fátima Bernardes
2016-08-30T05:48:00-03:00,5,Fátima Bernardes
2016-08-30T05:56:00-03:00,5,Fátima Bernardes
2016-08-30T06:04:00-03:00,6,Fátima Bernardes
2016-08-30T06:12:00-03:00,7,Fátima Bernardes
2016-08-30T06:20:00-03:00,8,Fátima Bernardes
2016-08-30T06:28:00-03:00,9,Fátima Bernardes
2016-08-30T06:36:00-03:00,10,Fátima Bernardes
2016-08-30T06:44:00-03:00,10,Fátima Bernardes
2016-08-30T06:52:00-03:00,11,Fátima Bernardes
2016-08-30T07:00:00-03:00,11,Fátima Bernardes
2016-08-30T07:08:00-03:00,12,Fátima Bernardes
2016-08-30T07:16:00-03:00,12,Fátima Bernardes
2016-08-30T07:24:00-03:00,13,Fátima Bernardes
2016-08-30T07:32:00-03:00,14,Fátima Bernardes
2016-08-30T07:40:00-03:00,14,Fátima Bernardes
2016-08-30T07:48:00-03:00,14,Fátima Bernardes
2016-08-30T07:56:00-03:00,14,Fátima Bernardes
2016-08-30T08:04:00-03:00,15,Fátima Bernardes
2016-08-30T08:12:00-03:00,16,Fátima Bernardes
2016-08-30T08:20:00-03:00,16,Fátima Bernardes
2016-08-30T08:28:00-03:00,15,Fátima Bernardes
2016-08-30T08:36:00-03:00,15,Fátima Bernardes
2016-08-30T08:44:00-03:00,16,Fátima Bernardes
2016-08-30T08:52:00-03:00,15,Fátima Bernardes
2016-08-30T09:00:00-03:00,14,Fátima Bernardes
2016-08-30T09:08:00-03:00,14,Fátima Bernardes
2016-08-30T09:16:00-03:00,15,Fátima Bernardes
2016-08-30T09:24:00-03:00,14,Fátima Bernardes
2016-08-30T09:32:00-03:00,14,Fátima Bernardes
2016-08-30T09:40:00-03:00,13,Fátima Bernardes
2016-08-30T09:48:00-03:00,14,Fátima Bernardes
2016-08-30T09:56:00-03:00,13,Fátima Bernardes
2016-08-30T10:04:00-03:00,14,Fátima Bernardes
2016-08-30T10:12:00-03:00,14,Fátima Bernardes
2016-08-30T10:20:00-03:00,13,Fátima Bernardes
2016-08-30T10:28:00-03:00,13,Fátima Bernardes
2016-08-30T10:36:00-03:00,13,Fátima Bernardes
2016-08-30T10:44:00-03:00,15,Fátima Bernardes
2016-08-30T10:52:00-03:00,16,Fátima Bernardes
2016-08-30T11:00:00-03:00,15,Fátima Bernardes
2016-08-30T11:08:00-03:00,16,Fátima Bernardes
2016-08-30T11:16:00-03:00,16,Fátima Bernardes
2016-08-30T11:24:00-03:00,18,Fátima Bernardes
2016-08-30T11:32:00-03:00,19,Fátima Bernardes
2016-08-30T11:40:00-03:00,19,Fátima Bernardes
2016-08-30T11:48:00-03:00,21,Fátima Bernardes
2016-08-30T11:56:00-03:00,17,Fátima Bernardes
2016-08-30T12:04:00-03:00,15,Fátima Bernardes
2016-08-30T12:12:00-03:00,15,Fátima Bernardes
2016-08-30T12:20:00-03:00,16,Fátima Bernardes
2016-08-30T12:28:00-03:00,18,Fátima Bernardes
2016-08-30T12:36:00-03:00,19,Fátima Bernardes
2016-08-30T12:44:00-03:00,17,Fátima Bernardes
2016-08-30T12:52:00-03:00,19,Fátima Bernardes
2016-08-30T13:00:00-03:00,17,Fátima Bernardes
2016-08-30T13:08:00-03:00,17,Fátima Bernardes
2016-08-30T13:16:00-03:00,16,Fátima Bernardes
2016-08-30T13:24:00-03:00,17,Fátima Bernardes
2016-08-30T13:32:00-03:00,17,Fátima Bernardes
2016-08-30T13:40:00-03:00,18,Fátima Bernardes
2016-08-30T13:48:00-03:00,17,Fátima Bernardes
2016-08-30T13:56:00-03:00,16,Fátima Bernardes
2016-08-30T14:04:00-03:00,16,Fátima Bernardes
2016-08-30T14:12:00-03:00,15,Fátima Bernardes
