id,value
Hissa_Abrahão_(PDT_-_AM).sim.sim,1
Hugo_Leal_(PSB_-_RJ).sim.sim,1
Hugo_Motta_(PMDB_-_PB).sim.ausente,1
Indio_Da_Costa_(PSD_-_RJ).sim.sim,1
Iracema_Portella_(PP_-_PI).sim.ausente,1
Irajá_Abreu_(PSD_-_TO).não.sim,1
Irmão_Lazaro_(PSC_-_BA).sim.não_está_em_exercício,1
Ivan_Valente_(PSOL_-_SP).não.sim,1
Izalci_(PSDB_-_DF).sim.sim,1
Jaime_Martins_(PSD_-_MG).sim.sim,1
Jair_Bolsonaro_(PSC_-_RJ).sim.sim,1
Jandira_Feghali_(PCdoB_-_RJ).não.sim,1
Janete_Capiberibe_(PSB_-_AP).não.sim,1
Jarbas_Vasconcelos_(PMDB_-_PE).sim.sim,1
Jean_Wyllys_(PSOL_-_RJ).não.sim,1
Jefferson_Campos_(PSD_-_SP).sim.sim,1
Jerônimo_Goergen_(PP_-_RS).sim.sim,1
Jéssica_Sales_(PMDB_-_AC).sim.ausente,1
JHC_(PSB_-_AL).sim.sim,1
Jhonatan_De_Jesus_(PRB_-_RR).sim.sim,1
Jô_Moraes_(PCdoB_-_MG).não.sim,1
João_Arruda_(PMDB_-_PR).sim.sim,1
João_Campos_(PRB_-_GO).sim.sim,1
João_Carlos_Bacelar_(PR_-_BA).não.não,1
João_Castelo_(PSDB_-_MA).sim.sim,1
João_Daniel_(PT_-_SE).não.sim,1
João_Derly_(REDE_-_RS).sim.sim,1
João_Fernando_Coutinho_(PSB_-_PE).sim.sim,1
João_Gualberto_(PSDB_-_BA).sim.sim,1
João_Marcelo_Souza_(PMDB_-_MA).não.sim,1
João_Paulo_Kleinübing_(PSD_-_SC).sim.não_está_em_exercício,1
João_Paulo_Papa_(PSDB_-_SP).sim.sim,1
João_Rodrigues_(PSD_-_SC).sim.sim,1
Joaquim_Passarinho_(PSD_-_PA).sim.sim,1
Jony_Marcos_(PRB_-_SE).sim.sim,1
Jorge_Boeira_(PP_-_SC).sim.sim,1
Jorge_Côrte_Real_(PTB_-_PE).sim.sim,1
Jorge_Solla_(PT_-_BA).não.sim,1
Jorge_Tadeu_Mudalen_(DEM_-_SP).sim.sim,1
Jorginho_Mello_(PR_-_SC).sim.sim,1
José_Airton_Cirilo_(PT_-_CE).não.sim,1
José_Carlos_Aleluia_(DEM_-_BA).sim.sim,1
José_Carlos_Araújo_(PR_-_BA).não.sim,1
José_Fogaça_(PMDB_-_RS).sim.sim,1
José_Guimarães_(PT_-_CE).não.sim,1
José_Mentor_(PT_-_SP).não.sim,1
José_Nunes_(PSD_-_BA).não.sim,1
José_Otávio_Germano_(PP_-_RS).sim.sim,1
José_Priante_(PMDB_-_PA).sim.ausente,1
