id	value
Luis Tibé (PTdoB - MG).sim.sim	1
Luiz Carlos Busato (PTB - RS).sim.sim	1
Luiz Couto (PT - PB).não.sim	1
Luiz Sérgio (PT - RJ).não.sim	1
Luiza Erundina (PSOL - SP).não.sim	1
Luizianne Lins (PT - CE).não.sim	1
Major Olimpio (SD - SP).sim.sim	1
Marco Maia (PT - RS).não.sim	1
Marcon (PT - RS).não.sim	1
Margarida Salomão (PT - MG).não.sim	1
Maria Do Rosário (PT - RS).não.sim	1
Mário Heringer (PDT - MG).sim.sim	1
Miro Teixeira (REDE - RJ).sim.sim	1
Odorico Monteiro (PROS - CE).não.sim	1
Paulo Pereira Da Silva (SD - SP).sim.não	1
Paulo Pimenta (PT - RS).não.sim	1
Paulo Teixeira (PT - SP).não.sim	1
Pedro Fernandes (PTB - MA).não.sim	1
Pedro Uczai (PT - SC).não.sim	1
Pepe Vargas (PT - RS).não.sim	1
Pompeo De Mattos (PDT - RS).abstenção.sim	1
Reginaldo Lopes (PT - MG).não.sim	1
Renata Abreu (PTN - SP).sim.sim	1
Ricardo Teobaldo (PTN - PE).não.sim	1
Roberto De Lucena (PV - SP).sim.sim	1
Rogério Peninha Mendonça (PMDB - SC).sim.sim	1
Ronaldo Benedet (PMDB - SC).sim.sim	1
Rubens Otoni (PT - GO).não.sim	1
Rubens Pereira Júnior (PCdoB - MA).não.sim	1
Ságuas Moraes (PT - MT).não.sim	1
Sóstenes Cavalcante (DEM - RJ).sim.sim	1
Uldurico Junior (PV - BA).sim.sim	1
Valmir Assunção (PT - BA).não.sim	1
Valmir Prascidelli (PT - SP).não.sim	1
Vander Loubet (PT - MS).não.sim	1
Vicente Candido (PT - SP).não.sim	1
Vicentinho (PT - SP).não.sim	1
Victor Mendes (PSD - MA).sim.sim	1
Vinicius Carvalho (PRB - SP).sim.sim	1
Wadih Damous (PT - RJ).não.sim	1
Waldenor Pereira (PT - BA).não.sim	1
Waldir Maranhão (PP - MA).não.sim	1
Walter Alves (PMDB - RN).sim.sim	1
Washington Reis (PMDB - RJ).sim.sim	1
Weliton Prado (PMB - MG).sim.sim	1
Wilson Filho (PTB - PB).sim.sim	1
Wladimir Costa (SD - PA).sim.sim	1
Zé Carlos (PT - MA).não.sim	1
Zé Geraldo (PT - PA).não.sim	1
Zé Silva (SD - MG).sim.sim	1
Zeca Cavalcanti (PTB - PE).não.sim	1
Zeca Dirceu (PT - PR).não.sim	1
Zeca Do Pt (PT - MS).não.sim	1
Zenaide Maia (PR - RN).não.sim	1
