data,headlines,categoria,datadois
21/05/2016,0,Políticas,05/21/2016
22/05/2016,0,Políticas,05/22/2016
23/05/2016,0,Políticas,05/23/2016
24/05/2016,4,Políticas,05/24/2016
25/05/2016,2,Políticas,05/25/2016
27/05/2016,1,Políticas,05/27/2016
29/05/2016,0,Políticas,05/29/2016
30/05/2016,0,Políticas,05/30/2016
31/05/2016,2,Políticas,05/31/2016
01/06/2016,1,Políticas,06/01/2016
02/06/2016,4,Políticas,06/02/2016
03/06/2016,0,Políticas,06/03/2016
05/06/2016,0,Políticas,06/05/2016
06/06/2016,2,Políticas,06/06/2016
07/06/2016,1,Políticas,06/07/2016
08/06/2016,3,Políticas,06/08/2016
09/06/2016,0,Políticas,06/09/2016
10/06/2016,0,Políticas,06/10/2016
11/06/2016,0,Políticas,06/11/2016
12/06/2016,0,Políticas,06/12/2016
13/06/2016,0,Políticas,06/13/2016
14/06/2016,1,Políticas,06/14/2016
15/06/2016,5,Políticas,06/15/2016
16/06/2016,2,Políticas,06/16/2016
17/06/2016,0,Políticas,06/17/2016
19/06/2016,0,Políticas,06/19/2016
20/06/2016,2,Políticas,06/20/2016
21/06/2016,2,Políticas,06/21/2016
22/06/2016,0,Políticas,06/22/2016
23/06/2016,2,Políticas,06/23/2016
24/06/2016,0,Políticas,06/24/2016
26/06/2016,1,Políticas,06/26/2016
27/06/2016,1,Políticas,06/27/2016
28/06/2016,4,Políticas,06/28/2016
29/06/2016,4,Políticas,06/29/2016
30/06/2016,3,Políticas,06/30/2016
01/07/2016,3,Políticas,07/01/2016
02/07/2016,0,Políticas,07/02/2016
03/07/2016,1,Políticas,07/03/2016
04/07/2016,0,Políticas,07/04/2016
05/07/2016,3,Políticas,07/05/2016
06/07/2016,4,Políticas,07/06/2016
07/07/2016,2,Políticas,07/07/2016
08/07/2016,2,Políticas,07/08/2016
10/07/2016,0,Políticas,07/10/2016
11/07/2016,1,Políticas,07/11/2016
12/07/2016,6,Políticas,07/12/2016
13/07/2016,1,Políticas,07/13/2016
14/07/2016,1,Políticas,07/14/2016
15/07/2016,0,Políticas,07/15/2016
16/07/2016,0,Políticas,07/16/2016
17/07/2016,0,Políticas,07/17/2016
18/07/2016,0,Políticas,07/18/2016
19/07/2016,0,Políticas,07/19/2016
20/07/2016,2,Políticas,07/20/2016
21/07/2016,2,Políticas,07/21/2016
22/07/2016,2,Políticas,07/22/2016
25/07/2016,4,Políticas,07/25/2016
26/07/2016,3,Políticas,07/26/2016
27/07/2016,0,Políticas,07/27/2016
28/07/2016,0,Políticas,07/28/2016
29/07/2016,3,Políticas,07/29/2016
30/07/2016,1,Políticas,07/30/2016
31/07/2016,1,Políticas,07/31/2016
01/08/2016,3,Políticas,08/01/2016
02/08/2016,0,Políticas,08/02/2016
03/08/2016,0,Políticas,08/03/2016
04/08/2016,0,Políticas,08/04/2016
05/08/2016,0,Políticas,08/05/2016
06/08/2016,0,Políticas,08/06/2016
08/08/2016,2,Políticas,08/08/2016
09/08/2016,1,Políticas,08/09/2016
10/08/2016,0,Políticas,08/10/2016
11/08/2016,1,Políticas,08/11/2016
12/08/2016,0,Políticas,08/12/2016
14/08/2016,1,Políticas,08/14/2016
15/08/2016,2,Políticas,08/15/2016
16/08/2016,2,Políticas,08/16/2016
17/08/2016,0,Políticas,08/17/2016
18/08/2016,0,Políticas,08/18/2016
19/08/2016,2,Políticas,08/19/2016
21/08/2016,0,Políticas,08/21/2016
22/08/2016,0,Políticas,08/22/2016
12/05/2016,26,Repercussões,05/12/2016
13/05/2016,11,Repercussões,05/13/2016
14/05/2016,1,Repercussões,05/14/2016
15/05/2016,7,Repercussões,05/15/2016
16/05/2016,7,Repercussões,05/16/2016
17/05/2016,12,Repercussões,05/17/2016
18/05/2016,12,Repercussões,05/18/2016
19/05/2016,5,Repercussões,05/19/2016
20/05/2016,3,Repercussões,05/20/2016
21/05/2016,1,Repercussões,05/21/2016
22/05/2016,3,Repercussões,05/22/2016
23/05/2016,6,Repercussões,05/23/2016
24/05/2016,5,Repercussões,05/24/2016
25/05/2016,4,Repercussões,05/25/2016
27/05/2016,0,Repercussões,05/27/2016
29/05/2016,2,Repercussões,05/29/2016
30/05/2016,1,Repercussões,05/30/2016
31/05/2016,3,Repercussões,05/31/2016
01/06/2016,2,Repercussões,06/01/2016
02/06/2016,6,Repercussões,06/02/2016
03/06/2016,0,Repercussões,06/03/2016
05/06/2016,1,Repercussões,06/05/2016
06/06/2016,2,Repercussões,06/06/2016
07/06/2016,2,Repercussões,06/07/2016
08/06/2016,6,Repercussões,06/08/2016
09/06/2016,2,Repercussões,06/09/2016
10/06/2016,8,Repercussões,06/10/2016
11/06/2016,1,Repercussões,06/11/2016
12/06/2016,0,Repercussões,06/12/2016
13/06/2016,1,Repercussões,06/13/2016
14/06/2016,3,Repercussões,06/14/2016
15/06/2016,1,Repercussões,06/15/2016
16/06/2016,5,Repercussões,06/16/2016
17/06/2016,2,Repercussões,06/17/2016
19/06/2016,0,Repercussões,06/19/2016
20/06/2016,3,Repercussões,06/20/2016
21/06/2016,0,Repercussões,06/21/2016
22/06/2016,1,Repercussões,06/22/2016
23/06/2016,1,Repercussões,06/23/2016
24/06/2016,2,Repercussões,06/24/2016
26/06/2016,1,Repercussões,06/26/2016
27/06/2016,2,Repercussões,06/27/2016
28/06/2016,1,Repercussões,06/28/2016
29/06/2016,5,Repercussões,06/29/2016
30/06/2016,3,Repercussões,06/30/2016
01/07/2016,1,Repercussões,07/01/2016
02/07/2016,1,Repercussões,07/02/2016
03/07/2016,0,Repercussões,07/03/2016
04/07/2016,2,Repercussões,07/04/2016
05/07/2016,2,Repercussões,07/05/2016
06/07/2016,7,Repercussões,07/06/2016
07/07/2016,3,Repercussões,07/07/2016
08/07/2016,1,Repercussões,07/08/2016
10/07/2016,0,Repercussões,07/10/2016
11/07/2016,3,Repercussões,07/11/2016
12/07/2016,2,Repercussões,07/12/2016
13/07/2016,4,Repercussões,07/13/2016
14/07/2016,1,Repercussões,07/14/2016
15/07/2016,1,Repercussões,07/15/2016
16/07/2016,2,Repercussões,07/16/2016
17/07/2016,1,Repercussões,07/17/2016
18/07/2016,0,Repercussões,07/18/2016
19/07/2016,1,Repercussões,07/19/2016
20/07/2016,2,Repercussões,07/20/2016
21/07/2016,2,Repercussões,07/21/2016
22/07/2016,0,Repercussões,07/22/2016
25/07/2016,2,Repercussões,07/25/2016
26/07/2016,2,Repercussões,07/26/2016
27/07/2016,3,Repercussões,07/27/2016
28/07/2016,4,Repercussões,07/28/2016
29/07/2016,0,Repercussões,07/29/2016
30/07/2016,1,Repercussões,07/30/2016
31/07/2016,3,Repercussões,07/31/2016
01/08/2016,3,Repercussões,08/01/2016
02/08/2016,4,Repercussões,08/02/2016
03/08/2016,3,Repercussões,08/03/2016
