id,cargo,bruto,liquido
679,Analista Judiciário,13850.75,10455.49
213,Analista Judiciário,15098.77,10457.38
837,Analista Judiciário,14613.48,10462.31
85,Analista Judiciário,14749.02,10462.36
59,Analista Judiciário,14328.58,10481.68
919,Analista Judiciário,14612.5,10482.44
810,Analista Judiciário,17419.44,10484.76
271,Analista Judiciário,13466.27,10487.78
422,Analista Judiciário,14619.95,10491.27
620,Analista Judiciário,14754.23,10492.44
905,Analista Judiciário,21304.81,10493.65
1067,Analista Judiciário,14538.05,10501.35
581,Analista Judiciário,30152.76,10504.45
147,Analista Judiciário,14929.59,10513.56
594,Analista Judiciário,15251.36,10531.8
1024,Analista Judiciário,18416.17,10551.72
663,Analista Judiciário,14690.54,10571.14
875,Analista Judiciário,15717.89,10573.61
789,Analista Judiciário,15146.69,10582.46
502,Analista Judiciário,15181.84,10590.24
51,Analista Judiciário,15170.34,10601.15
961,Analista Judiciário,15120.99,10604.4
307,Analista Judiciário,18460.68,10616.25
205,Analista Judiciário,14996.96,10627.22
8,Analista Judiciário,15106.8,10632.75
1033,Analista Judiciário,16442.31,10646.59
912,Analista Judiciário,16182.53,10648.35
257,Analista Judiciário,15007.83,10655.96
623,Analista Judiciário,14763.71,10663.14
959,Analista Judiciário,15464.46,10668.32
1149,Analista Judiciário,14767.26,10687.24
449,Analista Judiciário,13512.57,10706.51
737,Analista Judiciário,15502.91,10730.42
650,Analista Judiciário,17927.16,10747.7
193,Analista Judiciário,15123.2,10749.48
750,Analista Judiciário,20579.2,10755.25
1146,Analista Judiciário,20806.22,10759.73
361,Analista Judiciário,16255.35,10767.74
993,Analista Judiciário,22521.66,10778.68
460,Analista Judiciário,15502.91,10785.03
697,Analista Judiciário,17583.73,10790.79
325,Analista Judiciário,16882.69,10805.38
169,Analista Judiciário,14915.52,10809.5
1118,Analista Judiciário,15140.42,10818.93
1160,Analista Judiciário,14929.59,10830.79
510,Analista Judiciário,16112.03,10845.65
893,Analista Judiciário,15671.37,10846.55
27,Analista Judiciário,15248.78,10850.06
42,Analista Judiciário,15714.54,10853.9
791,Analista Judiciário,15029.44,10854.16
990,Analista Judiciário,15504.83,10871.66
655,Analista Judiciário,19151.48,10882.86
507,Analista Judiciário,15309.84,10887.1
695,Analista Judiciário,17297.08,10906.5
86,Analista Judiciário,16002.1,10914.41
556,Analista Judiciário,15513.01,10917.93
125,Analista Judiciário,15264.84,10918.94
1194,Analista Judiciário,15278.82,10921.37
461,Analista Judiciário,15502.91,10937.58
927,Analista Judiciário,17697.74,10960.95
53,Analista Judiciário,16255.35,10968.08
764,Analista Judiciário,15287.42,10974.04
104,Analista Judiciário,16365.12,10984.29
558,Analista Judiciário,15223.07,10995
491,Analista Judiciário,15842.43,10996.69
107,Analista Judiciário,16780.59,10999.65
1187,Analista Judiciário,17777.75,11014.45
274,Analista Judiciário,15861.16,11021.29
330,Analista Judiciário,15598.93,11025.23
148,Analista Judiciário,19540.75,11069.16
445,Analista Judiciário,17468.09,11082.8
1014,Analista Judiciário,17611.63,11093.21
631,Analista Judiciário,16174.14,11104.21
552,Analista Judiciário,15064.78,11142.87
579,Analista Judiciário,15278.13,11143
555,Analista Judiciário,17027.13,11146.01
73,Analista Judiciário,16255.35,11146.27
567,Analista Judiciário,16112.03,11183.34
1085,Analista Judiciário,16180.94,11189.35
1120,Analista Judiciário,15654.57,11204.07
36,Analista Judiciário,15127.16,11213.13
444,Analista Judiciário,18248.95,11217.44
100,Analista Judiciário,24079.51,11221.3
1086,Analista Judiciário,16993.31,11226.07
914,Analista Judiciário,17562.76,11234.23
532,Analista Judiciário,16470.34,11252.27
1124,Analista Judiciário,15162.61,11261.78
888,Analista Judiciário,16040.37,11270.61
870,Analista Judiciário,20918,11276.28
1165,Analista Judiciário,17134.07,11295.44
797,Analista Judiciário,23913.92,11316.13
1166,Analista Judiciário,19339.39,11319.95
661,Analista Judiciário,16442.31,11320.18
1019,Analista Judiciário,16811.03,11353.16
427,Analista Judiciário,17440.4,11359.86
694,Analista Judiciário,15817.64,11383.89
121,Analista Judiciário,17190.48,11396.7
590,Analista Judiciário,15658.1,11424.13
880,Analista Judiciário,24338.6,11431.38
485,Analista Judiciário,16961.95,11467.21
431,Analista Judiciário,16324.26,11467.48
1088,Analista Judiciário,16525.76,11516.19
1059,Analista Judiciário,18845.72,11541.89
1076,Analista Judiciário,16384.44,11566.57
683,Analista Judiciário,22993.29,11575
1097,Analista Judiciário,21066.4,11577.96
823,Analista Judiciário,21597.78,11592.92
642,Analista Judiciário,18113.94,11598.45
733,Analista Judiciário,24881.35,11619.59
1198,Analista Judiciário,16000.41,11638.62
210,Analista Judiciário,17355.55,11653.91
79,Analista Judiciário,18462.81,11658.61
262,Analista Judiciário,17539.75,11681.85
327,Analista Judiciário,17085.06,11719.29
883,Analista Judiciário,17503.31,11771.93
628,Analista Judiciário,16485.67,11786.08
563,Analista Judiciário,20627.47,11789.78
313,Analista Judiciário,17652.74,11795.22
775,Analista Judiciário,16399.49,11817.21
760,Analista Judiciário,19327.71,11824.81
1079,Analista Judiciário,17274.52,11825.95
787,Analista Judiciário,20900.39,11840.55
1001,Analista Judiciário,16037.19,11852.79
897,Analista Judiciário,16811.33,11868.58
294,Analista Judiciário,16035.36,11873.14
654,Analista Judiciário,16637.27,11890.3
1154,Analista Judiciário,16877.14,11893.48
841,Analista Judiciário,16756.66,11899.5
287,Analista Judiciário,17240.3,11925.09
417,Analista Judiciário,16833.54,11943.73
607,Analista Judiciário,22541.78,11959.61
704,Analista Judiciário,17040.87,11960.77
167,Analista Judiciário,16576.29,12021.97
864,Analista Judiciário,18810.43,12030.17
1158,Analista Judiciário,21637.11,12060.74
465,Analista Judiciário,17382.01,12066.72
246,Analista Judiciário,21568.56,12086.62
1082,Analista Judiciário,17028.51,12103.29
374,Analista Judiciário,17491.1,12106.13
1170,Analista Judiciário,17008.07,12111.86
575,Analista Judiciário,17245.33,12115.02
215,Analista Judiciário,18647.69,12138.14
398,Analista Judiciário,15509.4,12149.65
242,Analista Judiciário,19548.3,12160.16
1078,Analista Judiciário,17958.26,12176.25
834,Analista Judiciário,17803.11,12179.1
1068,Analista Judiciário,16861.72,12184.85
1139,Analista Judiciário,16877.14,12200.84
1008,Analista Judiciário,16513.67,12211.38
509,Analista Judiciário,19098.9,12218.92
763,Analista Judiciário,17495.99,12232.98
565,Analista Judiciário,24290.26,12242.01
849,Analista Judiciário,17555.17,12249.21
1013,Analista Judiciário,17257.13,12264.17
1147,Analista Judiciário,17991.46,12314.25
847,Analista Judiciário,16967.49,12316.02
965,Analista Judiciário,17117.14,12337.78
185,Analista Judiciário,17294.99,12369.99
1116,Analista Judiciário,17440.4,12385.78
591,Analista Judiciário,17419.44,12387.72
232,Analista Judiciário,16971.96,12399.82
133,Analista Judiciário,19739.57,12503.51
822,Analista Judiciário,17898.27,12549.48
220,Analista Judiciário,16181.72,12583.07
32,Analista Judiciário,17634.42,12591.56
1199,Analista Judiciário,17746.57,12604.01
909,Analista Judiciário,18264.5,12630.86
800,Analista Judiciário,18111.71,12649.51
67,Analista Judiciário,17773.33,12659.2
790,Analista Judiciário,18853.04,12752.61
781,Analista Judiciário,18577.24,12755.99
1193,Analista Judiciário,17312.03,12774.95
1190,Analista Judiciário,18810.43,12831.14
211,Analista Judiciário,19955.05,12837.71
109,Analista Judiciário,19048.45,12879.74
920,Analista Judiciário,21241.1,12888.66
827,Analista Judiciário,20454.57,12921.03
1058,Analista Judiciário,18376.96,12972.56
634,Analista Judiciário,21203.65,12974.31
78,Analista Judiciário,19843.35,13001.53
176,Analista Judiciário,19312.69,13002.17
904,Analista Judiciário,26087.1,13028.08
878,Analista Judiciário,22035.07,13041.62
296,Analista Judiciário,17917.6,13046.26
6,Analista Judiciário,18661.32,13052.22
548,Analista Judiciário,17467.83,13069.22
946,Analista Judiciário,19386.5,13072.69
1096,Analista Judiciário,18261.76,13073.51
1028,Analista Judiciário,18826.26,13085.5
646,Analista Judiciário,19811.73,13133.42
1207,Analista Judiciário,22416.45,13157.79
75,Analista Judiciário,24090.16,13165.68
323,Analista Judiciário,19159.57,13168.6
395,Analista Judiciário,18190.1,13178.55
1040,Analista Judiciário,18112.72,13197.39
1000,Analista Judiciário,17653.31,13236.29
983,Analista Judiciário,18722.96,13301.25
681,Analista Judiciário,20981.58,13312.95
531,Analista Judiciário,21382.8,13334.91
60,Analista Judiciário,18135.43,13365.07
1156,Analista Judiciário,23911.07,13439.61
250,Analista Judiciário,18983.88,13536.59
334,Analista Judiciário,18414.03,13552.15
848,Analista Judiciário,18693.25,13553.75
998,Analista Judiciário,22059.52,13571.01
978,Analista Judiciário,19419.31,13578.64
1186,Analista Judiciário,23850.89,13631.14
855,Analista Judiciário,18997.17,13654.76
173,Analista Judiciário,19363.54,13662.84
336,Analista Judiciário,21149.02,13665.61
561,Analista Judiciário,31077.44,13681.49
805,Analista Judiciário,23658.69,13711.12
414,Analista Judiciário,19442.18,13756.35
309,Analista Judiciário,19114.13,13760.2
265,Analista Judiciário,19256.05,13762.95
441,Analista Judiciário,19675.18,13769.68
235,Analista Judiciário,19055.78,13785.02
925,Analista Judiciário,19927.09,13804.31
803,Analista Judiciário,20151.6,13900.14
687,Analista Judiciário,21558.71,13966.63
840,Analista Judiciário,19344.53,13974.1
186,Analista Judiciário,25439.77,14006.69
1087,Analista Judiciário,24478.02,14006.73
141,Analista Judiciário,20816.12,14078.11
819,Analista Judiciário,20510.12,14106.33
240,Analista Judiciário,20226.46,14108.65
391,Analista Judiciário,25364.37,14146.04
1125,Analista Judiciário,19881.1,14203.28
326,Analista Judiciário,21307.69,14207.64
245,Analista Judiciário,23969,14233.87
66,Analista Judiciário,19719.88,14281.78
230,Analista Judiciário,23860.24,14283.17
1200,Analista Judiciário,19674.85,14326.82
1204,Analista Judiciário,20414.47,14355.4
702,Analista Judiciário,19208.23,14418.26
92,Analista Judiciário,21821.49,14490.5
649,Analista Judiciário,20026.71,14560.33
997,Analista Judiciário,21163.66,14709.47
566,Analista Judiciário,19470.6,14711.93
113,Analista Judiciário,23681.21,14748.21
585,Analista Judiciário,20003.97,14761.3
953,Analista Judiciário,19674.85,14857.59
191,Analista Judiciário,22759.36,14868.77
455,Analista Judiciário,24556.48,14991.58
601,Analista Judiciário,21750.81,15057.71
290,Analista Judiciário,22687.01,15116.78
407,Analista Judiciário,21640.35,15156.02
1030,Analista Judiciário,21091.78,15163.57
891,Analista Judiciário,22336.1,15174.12
913,Analista Judiciário,22378.72,15218.86
429,Analista Judiciário,22231.27,15297.37
428,Analista Judiciário,22577.28,15325.41
1,Analista Judiciário,20582.93,15402.94
203,Analista Judiciário,21643.53,15432.11
1035,Analista Judiciário,23769.12,15495.29
813,Analista Judiciário,23363.17,15517.56
188,Analista Judiciário,22099.82,15616.84
828,Analista Judiciário,24303.18,15650.78
626,Analista Judiciário,24174.95,15668.59
120,Analista Judiciário,21319.26,15678.47
765,Analista Judiciário,21686.98,15681.95
1025,Analista Judiciário,20166.05,15754.7
226,Analista Judiciário,23533.99,15879.57
874,Analista Judiciário,30022.01,15919.74
322,Analista Judiciário,24594.7,16017.29
771,Analista Judiciário,23094.71,16054.63
638,Analista Judiciário,23067.37,16214.69
630,Analista Judiciário,23908.61,16221.31
811,Analista Judiciário,24462.87,16228.68
545,Analista Judiciário,23510.9,16262.38
742,Analista Judiciário,24451.38,16275.39
209,Analista Judiciário,25098.79,16277.86
351,Analista Judiciário,26077.65,16411.72
788,Analista Judiciário,23357.19,16483.37
892,Analista Judiciário,23840.13,16507.25
1144,Analista Judiciário,24306.45,16630.6
700,Analista Judiciário,26627.32,16634.78
926,Analista Judiciário,23654.22,16634.87
301,Analista Judiciário,24505.31,16688.82
571,Analista Judiciário,23510.9,16798.32
5,Analista Judiciário,26807.49,16850.31
1037,Analista Judiciário,25701.58,16940.82
341,Analista Judiciário,24009.94,17083.92
832,Analista Judiciário,24523.04,17225.4
688,Analista Judiciário,24594.7,17281.87
2,Analista Judiciário,23934.94,17322.05
1060,Analista Judiciário,31211.64,17433.91
251,Analista Judiciário,25965.71,17519.32
146,Analista Judiciário,28849.46,17604.89
