segmento,on,nome,ceo,mulher,diretores,mulheres,prop
produtivo / industrial,não,Suzano Holding,Walter Schalka,não,6,0,0.00
consumo / varejo,não,Igb S/A,Eugênio Emílio Staub,não,2,0,0.00
financeiro / holding / participações,não,Apicesecurit,Fernando Cesar Brasileiro,não,2,0,0.00
produtivo / industrial,não,Uptick,Helder Rocha Falcão,não,1,0,0.00
produtivo / industrial,não,Sondotecnica,Jaime Rotstein,não,5,0,0.00
financeiro / holding / participações,não,Patagonia,João Carlos De Nobrega Pecego,não,9,0,0.00
financeiro / holding / participações,não,Xx Novembro,Jomar Monnerat De Carvalho,não,4,0,0.00
financeiro / holding / participações,não,Aliperti,Caetano Aliperti,não,3,0,0.00
produtivo / industrial,não,Alupar,Paulo Roberto De Godoy Pereira,não,3,0,0.00
produtivo / industrial,não,Rod Tiete,Sebastião Ricardo Carvalho Martins,não,2,0,0.00
produtivo / industrial,não,Sto Antonio,Eduardo De Melo Pinto,não,4,0,0.00
produtivo / industrial,não,Cremer,Flavio Augusto Bau,não,5,0,0.00
consumo / varejo,não,Guararapes,Nevaldo Rocha,não,3,0,0.00
financeiro / holding / participações,não,Battistella,Cristiano Locatelli,não,2,0,0.00
produtivo / industrial,não,Marcopolo,Francisco Gomes Neto,não,2,0,0.00
produtivo / industrial,não,Renova,Carlos Figueiredo,não,2,0,0.00
consumo / varejo,não,Unidas,Carlos Horácio Sarquis,não,4,0,0.00
produtivo / industrial,não,Triangulosol,José Renato Ricciardi,não,2,0,0.00
produtivo / industrial,não,Rod Colinas,José Renato Ricciardi,não,2,0,0.00
produtivo / industrial,não,Mangels Indl,Robert Max Mangels,não,2,0,0.00
produtivo / industrial,não,Eletropar,Marcelo Lobo De Oliveira Figueiredo,não,2,0,0.00
produtivo / industrial,não,Agconcessoes,Luiz Otávio Mourão,não,4,0,0.00
produtivo / industrial,não,Casan,Valter José Gallina,não,5,0,0.00
consumo / varejo,não,Excelsior,Renato Jackisch,não,2,0,0.00
produtivo / industrial,não,Termopernambuco,Solange Maria Pinto Ribeiro,sim,4,0,0.00
produtivo / industrial,sim,Tim Part S/A,Stefano De Angelis,não,8,0,0.00
produtivo / industrial,sim,Ccr Sa,Renato Alves Vale,não,11,0,0.00
produtivo / industrial,sim,Fertilizantes Heringer S.A.,Dalton Carlos Heringer,não,5,0,0.00
consumo / varejo,sim,Anima,Daniel Faccini Castanho,não,5,0,0.00
produtivo / industrial,sim,Santos Brasil,Antônio Carlos Duarte Sepúlveda,não,3,0,0.00
consumo / varejo,sim,Direcional,Ricardo Valadares Gontijo,não,4,0,0.00
consumo / varejo,sim,Natura,João Paulo Ferreira,não,6,1,0.17
consumo / varejo,sim,Hypermarcas,Claudio Bergamo Dos Santos,não,5,1,0.20
consumo / varejo,sim,Lojas Renner,José Galló,não,6,1,0.17
produtivo / industrial,sim,Contax,Nelson Armbrust,não,4,2,0.50
consumo / varejo,sim,M.Diasbranco,Francisco Ivens De Sá Dias Branco Júnior.,não,6,2,0.33
produtivo / industrial,não,Minasmaquina,Maria Stella Gonçalves De Faria,sim,5,2,0.40
consumo / varejo,não,Grazziotin,Renata Grazziotin,sim,3,1,0.33
produtivo / industrial,não,Brq,Benjamin Ribeiro Quadros,não,3,2,0.67
produtivo / industrial,não,Ferbasa,Rafael Machado Tibo,não,7,1,0.14
financeiro / holding / participações,não,Monteiro Aranha,Sergio Alberto Monteiro De Carvalho,não,4,1,0.25
financeiro / holding / participações,não,Bahema,Frederico Marques Affonso Ferreira –,não,3,0,0.00
produtivo / industrial,não,Aco Altona,Cacídio Girardi,não,2,0,0.00
produtivo / industrial,não,Metisa,Edvaldo Angelo,não,3,0,0.00
consumo / varejo,não,Saraiva,Jorge Saraiva Neto,não,4,0,0.00
financeiro / holding / participações,não,Mgi Particip,Mário Assad Júnior,não,5,0,0.00
consumo / varejo,não,Dufry Ag,Julián Díaz González,não,12,0,0.00
financeiro / holding / participações,não,J B Duarte,Laodse Denis De Abreu Duarte,não,2,0,0.00
produtivo / industrial,não,Metal Iguacu,Rogerio Payrebrune St. Seve Marins,não,4,0,0.00
produtivo / industrial,não,Sanepar,Mounir Chaowiche,não,9,0,0.00
produtivo / industrial,não,Viaoeste,Renato Alves Vale,não,11,0,0.00
produtivo / industrial,não,Novadutra,Renato Alves Vale,não,11,0,0.00
produtivo / industrial,não,Autoban,Renato Alves Vale,não,11,0,0.00
financeiro / holding / participações,não,Finansinos,Ricardo Da Cruz Franck,não,2,0,0.00
produtivo / industrial,não,Rt Bandeiras,Júlio Cesar Duarte Perdigão,não,2,0,0.00
consumo / varejo,não,Dohler,Udo Döhler,não,6,0,0.00
produtivo / industrial,não,Santos Brasil,Antônio Carlos Duarte Sepúlveda,não,3,0,0.00
financeiro / holding / participações,sim,Wiz,João Francisco Da Silveira Neto -,não,3,0,0.00
consumo / varejo,sim,Arezzo Co,Alexandre Café Birman,não,3,0,0.00
consumo / varejo,sim,Magazine Luiza,Frederico Trajano Inácio,não,9,2,0.22
produtivo / industrial,não,Copel,Antonio Sergio De Souza Guetter,não,6,0,0.00
produtivo / industrial,não,Ampla Energia,Abel Alves Rochinha,não,10,4,0.40
produtivo / industrial,não,Algar Telecom S/A,Jean Carlos Borges,não,6,2,0.33
financeiro / holding / participações,não,Atompar,José Joaquim Paifer,não,3,1,0.33
produtivo / industrial,não,Coelce,Francesco Starace,não,1,0,0.00
consumo / varejo,não,Santanense,Josué Christiano Gomes Da Silva,não,2,0,0.00
