headline,link,categoria,subcategoria,dia,mês,ano,data,datadois
França nega que brasileiro tenha planejado atacar delegação do ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-07/franca-nega-que-brasileiro-tenha-planejado-atacar-franceses-durante-rio,Repercussões,Outros,19,7,2016,19/07/2016,07/19/2016
Deputado que faltar a sessões terá desconto em salário diz ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/deputado-que-faltar-sessoes-tera-salario-descontado-diz-presidente-da,Repercussões,Congresso & Base Aliada,20,7,2016,20/07/2016,07/20/2016
Mulheres negras são mais vítimas de violência que as brancas diz ...,http://agenciabrasil.ebc.com.br/direitos-humanos/noticia/2016-07/mulheres-negras-sao-mais-vitimas-de-violencia-diz-promotora,Repercussões,Outros,20,7,2016,20/07/2016,07/20/2016
MST vai reagir se venda de terra a estrangeiro for liberada diz Stédile,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/mst-vai-reagir-se-venda-de-terra-estrangeiro-liberada-diz-stedile,Repercussões,Novas Políticas,21,7,2016,21/07/2016,07/21/2016
Festival do MST em BH reúne produção artística e cultural do campo,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/festival-do-mst-em-bh-reune-producao-artistica-e-cultural-do-campo,Repercussões,Protestos,21,7,2016,21/07/2016,07/21/2016
Com ação da PF manifestantes deixam Ministério da Cultura no Rio,http://agenciabrasil.ebc.com.br/cultura/noticia/2016-07/manifestantes-deixam-ministerio-da-cultura-no-rio,Repercussões,Protestos,25,7,2016,25/07/2016,07/25/2016
Fetraf organiza protestos no Dia do Agricultor Familiar,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/fetraf-organiza-protestos-no-dia-do-agricultor-familiar,Repercussões,Protestos,25,7,2016,25/07/2016,07/25/2016
Maioria dos brasileiros quer nova eleição presidencial mostra ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/maioria-dos-brasileiros-quer-nova-eleicao-presidencial-mostra-pesquisa,Repercussões,Impeachment,26,7,2016,26/07/2016,07/26/2016
Centrais sindicais se unem para reivindicar manutenção de direitos ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-07/centrais-sindicais-se-unem-para-reivindicar-manutencao-de-direitos-trabalhista,Repercussões,Protestos,26,7,2016,26/07/2016,07/26/2016
Aécio pede a Temer apoio para recriar cláusula de barreira e proibir ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/aecio-pede-temer-apoio-para-recriar-clausula-de-barreira-e-proibir,Repercussões,Congresso & Base Aliada,27,7,2016,27/07/2016,07/27/2016
Indústria química diz a Temer que setor pode ajudar cadeia produtiva,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/industria-quimica-diz-temer-que-setor-pode-ajudar-toda-cadeia-industrial,Repercussões,Novas Políticas,27,7,2016,27/07/2016,07/27/2016
Rodrigo Maia diz que prioridade da Câmara é a agenda econômica ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/rodrigo-maia-diz-que-prioridade-da-camara-e-agenda-economica-do-governo,Repercussões,Congresso & Base Aliada,27,7,2016,27/07/2016,07/27/2016
CNA entrega a Temer lista com dez sugestões para agropecuária ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/cna-entrega-temer-lista-com-dez-sugestoes-para-agropecuaria-brasileira,Repercussões,Temer,28,7,2016,28/07/2016,07/28/2016
Conselhão consultará integrantes sobre permanência após votação ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/conselhao-consultara-integrantes-sobre-permanencia-apos-votacao-do,Repercussões,Impeachment,28,7,2016,28/07/2016,07/28/2016
Aliados preparam estratégias para defender Dilma Rousseff do ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/aliados-preparam-estrategias-para-defender-dilma-contra-o-impeachment,Repercussões,Impeachment,28,7,2016,28/07/2016,07/28/2016
Em greve técnicos do BC esperam sanção de lei que altera carreira,http://agenciabrasil.ebc.com.br/economia/noticia/2016-07/em-greve-tecnicos-do-bc-esperam-sancao-de-lei-que-reajusta-salarios-em,Repercussões,Ministros & Cargos,28,7,2016,28/07/2016,07/28/2016
Suecos e japoneses chegam a Manaus para disputa do futebol na ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-07/suecos-e-japoneses-chegam-manaus-para-disputa-do-futebol-na-olimpiada,Repercussões,Outros,30,7,2016,30/07/2016,07/30/2016
Em Salvador manifestantes pedem volta de Dilma Rousseff,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/em-salvador-manifestantes-pedem-volta-de-dilma-rousseff,Repercussões,Protestos,31,7,2016,31/07/2016,07/31/2016
Ativistas brasileiros protestam a favor de Dilma em Lisboa,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/ativistas-brasileiros-fazem-protesto-em-apoio-dilma-em-lisboa,Repercussões,Protestos,31,7,2016,31/07/2016,07/31/2016
PCdoB oficializa candidatura de Alice Portugal à prefeitura de ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-07/pcdob-oficializa-candidatura-de-alice-portugal-prefeitura-de-salvador,Repercussões,Protestos,31,7,2016,31/07/2016,07/31/2016
André Moura e equipe econômica tentam consenso para votar ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/andre-moura-e-equipe-economica-tentam-consenso-para-votar-divida-dos,Repercussões,Congresso & Base Aliada,1,8,2016,01/08/2016,08/01/2016
Incor festeja mil transplantes de coração e pulmão,http://agenciabrasil.ebc.com.br/geral/noticia/2016-08/incor-festeja-em-sao-paulo-mil-transplantes-de-coracao-e-pulmao,Repercussões,Novas Políticas,1,8,2016,01/08/2016,08/01/2016
Sobe para 65 o número de presos por atos de vandalismo no Rio ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-08/sobe-para-65-o-numero-de-presos-por-atos-de-vandalismo-no-rio-grande-do-norte,Repercussões,Outros,1,8,2016,01/08/2016,08/01/2016
Adiada para a próxima semana votação de PEC que limita gastos ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/pedido-de-vista-adia-para-proxima-semana-votacao-de-pec-que-limita-gastos,Repercussões,Congresso & Base Aliada,2,8,2016,02/08/2016,08/02/2016
Gestores municipais têm que defender o Mais Médicos diz ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-08/gestores-municipais-tem-que-defender-o-mais-medicos-diz-assessora-do-conasems,Repercussões,Políticas Existentes,2,8,2016,02/08/2016,08/02/2016
Votação do processo de impeachment pode ser concluída até o fim ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/votacao-do-processo-de-impeachment-deve-comecar-ate-o-fim-do-mes,Repercussões,Impeachment,2,8,2016,02/08/2016,08/02/2016
Lira propõe que julgamento de Dilma comece dia 25 e prossiga no ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/lira-propoe-que-julgamento-de-dilma-comece-dia-25-e-prossiga-no-fim-de,Repercussões,Impeachment,2,8,2016,02/08/2016,08/02/2016
Condutor protesta contra Temer em revezamento da tocha no Rio,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/condutor-protesta-contra-temer-em-revezamento-da-tocha-no-rio,Repercussões,Protestos,3,8,2016,03/08/2016,08/03/2016
