empresa,financiado,total,setor
Digicon S.A. Controle Eletronico Para Mecanica,9555660.0,10617400.0,automacão/maquinário
Sulmaq Industrial E Comercial S.A.,9312754.5,10347505.0,automacão/maquinário
Inbra Indústria Químicas Ltda.,9099000.0,10110000.0,químico/petroquímico
Keko Acessórios S.A.,8965379.5,12807685.0,automotivo
Argos Guindastes Industria E Comercio Ltda,8591146.7,12273066.7,construção
Moinho Estrela Ltda,7619728.3,15239456.6,alimentos
Hexagon Comercial E Telecomunicações Ltda,7360740.0,8178600.0,tecnologia/telecom
Oxipira automacão/maquinário Ind E Com De Máq Inds Ltda,7242952.0,9053690.0,automacão/maquinário
Wheaton Brasil Vidros S/A,7204341.0,12007235.0,outros
Opersan Residuos Industriais S.A,6807292.8,7563658.7,químico/petroquímico
Menegotti Máquinas E Equipamentos Ltda,6088491.0,6764990.0,automacão/maquinário
Brasilsat Harald S/A,6056046.4,7570058.0,tecnologia/telecom
Zammi Instrumental Ltda,5707591.6,11768230.0,saúde
Altus Sistemas De automacão/maquinário S.A.,4929300.0,5477000.0,tecnologia/telecom
Tolife Importação Exportação E Comércio De Produtos Médicos S/A.,4254847.2,5318559.0,saúde
Estácio Participações S.A,4170051.1,4633390.1,educação
Dabi Atlante S/A Indústrias Médico Odontológi Cas,3337040.0,4171300.0,saúde
Spacecomm Monitoramento S.A.,1949842.2,2166491.3,tecnologia/telecom
Maxiforja Componentes Automotivos Ltda,1279879.8,1599849.8,automotivo
Ft Sistemas, Serviços E Aerolevantamento S.A.,1213926.0,1734180.0,aviação
