value,key,date
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
469953,BNDES FINAME,1/1/2015
376047,BNDES FINAME,1/1/2015
437456.25,BNDES FINAME,1/1/2015
350043.75,BNDES FINAME,1/1/2015
88741.13,BNDES FINAME,1/1/2015
71008.87,BNDES FINAME,1/1/2015
88741.13,BNDES FINAME,1/1/2015
71008.87,BNDES FINAME,1/1/2015
437535,BNDES FINAME,1/1/2015
349965,BNDES FINAME,1/1/2015
437535,BNDES FINAME,1/1/2015
349965,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
49910,BNDES FINAME,1/1/2015
85000,BNDES FINAME,1/1/2014
359555.41,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
476000,BNDES FINAME,1/1/2014
93252.59,BNDES FINAME,1/1/2014
1660000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
697000,BNDES FINAME,1/1/2014
702400,BNDES FINAME,1/1/2014
499100,BNDES FINAME,1/1/2014
499100,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
499100,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
499100,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
99820,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
265164,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
504275.25,BNDES FINAME,1/1/2014
135300,BNDES FINAME,1/1/2014
386000,BNDES FINAME,1/1/2014
591000,BNDES FINAME,1/1/2014
180830,BNDES FINAME,1/1/2014
81373.5,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
985000,BNDES FINAME,1/1/2014
985000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
175000,BNDES FINAME,1/1/2014
175000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
90415,BNDES FINAME,1/1/2014
453847.72,BNDES FINAME,1/1/2014
386000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
386000,BNDES FINAME,1/1/2014
386000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
258495,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
303000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
215000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
985000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
985000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
985000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
985000,BNDES FINAME,1/1/2014
1075000,BNDES FINAME,1/1/2014
453847.72,BNDES FINAME,1/1/2014
326070,BNDES FINAME,1/1/2014
900632,BNDES FINAME,1/1/2014
1648800,BNDES FINAME,1/1/2014
1890000,BNDES FINAME,1/1/2014
119671,BNDES FINAME,1/1/2014
389243,BNDES FINAME,1/1/2014
335422,BNDES FINAME,1/1/2014
199890,BNDES FINAME,1/1/2014
453847.72,BNDES FINAME,1/1/2014
447750,BNDES FINAME,1/1/2014
346143,BNDES FINAME,1/1/2014
286346,BNDES FINAME,1/1/2014
385049,BNDES FINAME,1/1/2014
189588,BNDES FINAME,1/1/2014
207286,BNDES FINAME,1/1/2014
135442,BNDES FINAME,1/1/2014
178235,BNDES FINAME,1/1/2014
214027,BNDES FINAME,1/1/2014
60951.49,BNDES FINAME,1/1/2014
294361,BNDES FINAME,1/1/2014
286011,BNDES FINAME,1/1/2014
308524,BNDES FINAME,1/1/2014
162637,BNDES FINAME,1/1/2014
315648,BNDES FINAME,1/1/2014
357966,BNDES FINAME,1/1/2014
310700,BNDES FINAME,1/1/2014
273200,BNDES FINAME,1/1/2014
330822,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
222088,BNDES FINAME,1/1/2014
177300,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
774000,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
78777,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
70200,BNDES FINAME,1/1/2014
90000,BNDES FINAME,1/1/2014
