verbete	handle
Lista de portas de protocolos	@SERPRO 
Miss Mundo Amazonas	@Caixa 
Miss Mundo Amazonas	@Caixa 
Miss Mundo Amazonas	@Caixa 
Miss Mundo Amazonas	@Caixa 
Miss Mundo Amazonas	@Caixa 
Miss Mundo Amazonas	@Caixa 
Chuva project	@INPE_MCT 
Guy Fawkes	@TSEJusBR 
Guy Fawkes	@TSEJusBR 
Consórcio	@Caixa 
Lista de episódios de Steven Universe	@TelebrasBR 
Mato Grosso do Sul	@Caixa 
Fátima do Sul	@Caixa 
Dourados	@Caixa 
Banco do Brasil	@Caixa 
Lista de canais da televisão digital brasileira	@Caixa 
Macaulay Culkin	@SERPRO 
Aisha bint Abu Bakr	@CamaraDeputados 
https://t.co/9wynYHiWml	@Caixa 
Eagles of Death Metal	@SERPRO 
Marina Abramović	@Caixa 
Anti (album)	@Conab_2015 
Anti (album)	@SERPRO 
Lista de lutadores do UFC	@TST_Oficial 
Durião	@MPF_PGR 
Mesorregião do Sudoeste Paranaense	@AgenciaPF 
Sheila Mello	@SERPRO 
In War and Pieces	@TST_Oficial 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
SIEF	@SERPRO 
Sistema de informação	@MinSaude 
Kwon Yuri	@MinSaude 
Kwon Yuri	@MinSaude 
Lista de episódios de Steven Universe	@TelebrasBR 
Mauricio Macri	@AgenciaPF 
Mauricio Macri	@AgenciaPF 
Portugueses	@ImprensaDPU 
Lei Maria da Penha	@MPF_PGR 
Gerência de configuração de software	@TST_Oficial 
Portugueses	@ImprensaDPU 
Portugueses	@ImprensaDPU 
Jayme Amatnecks	@Caixa 
São Jorge d'Oeste	@Conab_2015 
São Jorge d'Oeste	@SERPRO 
Diego Rivera	@SERPRO 
Lydia Sayeg	@SERPRO 
Android Lollipop	@SERPRO 
BTG Pactual	@Caixa 
Pluggable Authentication Modules	@Dataprev 
Discografia de Foo Fighters	@TelebrasBR 
Discografia de Foo Fighters	@TelebrasBR 
Portugueses	@ImprensaDPU 
Portugueses	@ImprensaDPU 
Portugueses	@ImprensaDPU 
Karl Marx	@Caixa 
Karl Marx	@Caixa 
Aeroporto Internacional de Brasília	@MPF_PGR 
Aeroporto Internacional de Brasília	@MPF_PGR 
Grécia Antiga	@Caixa 
Círculo de quintas	@Caixa 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Wellington Fagundes	@SenadoFederal 
Wellington Fagundes	@SenadoFederal 
Wellington Fagundes	@SenadoFederal 
Economic liberalisation in India	@TrabalhoGovBR 
Eduardo Cunha	@Conab_2015 
Eduardo Cunha	@SERPRO 
Nintendo Entertainment System	@SERPRO 
Partido Novo	@Dataprev 
Playmoboys	@TSEJusBR 
Música de Insensato Coração	@Caixa 
Germinal	@CNPq_Oficial 
Eduardo Cunha	@Conab_2015 
Eduardo Cunha	@SERPRO 
Eduardo Cunha	@Conab_2015 
Eduardo Cunha	@SERPRO 
Eduardo Cunha	@Conab_2015 
Eduardo Cunha	@SERPRO 
Eduardo Cunha	@Conab_2015 
Eduardo Cunha	@SERPRO 
Campos Sales	@SERPRO 
TCP/IP	@Conab_2015 
TCP/IP	@SERPRO 
Creed (filme)	@ImprensaDPU 
Evandro Gussi	@CamaraDeputados 
Intermezzo (album)	@TrabalhoGovBR 
Intermezzo (album)	@TrabalhoGovBR 
Tuvalu	@AgenciaPF 
Márcia Freire	@TelebrasBR 
Domicílio eleitoral	@AgenciaPF 
Noçoes de financiamento	@TelebrasBR 
TV Em Tempo	@TelebrasBR 
TV Em Tempo	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Michel Temer	@TelebrasBR 
Yu Yu Hakusho	@MinSaude 
Sheila Mello	@SERPRO 
Antônia Fontenelle	@SERPRO 
Sylvia Salustti	@TelebrasBR 
Sylvia Salustti	@TelebrasBR 
Sandra Chambers	@Caixa 
Michel Temer	@TelebrasBR 
Libertação (livro)	@Dataprev 
2015 World Surf League	@Caixa 
Marianne Peretti	@SenadoFederal 
Marianne Peretti	@SenadoFederal 
Dívida ativa	@MinSaude 
Chief of Staff of Brazil	@AgoraNoPlanalto
Chief of Staff of Brazil	@AgoraNoPlanalto
Chief of Staff of Brazil	@AgoraNoPlanalto
Eduardo da Fonte	@CamaraDeputados 
Eduardo da Fonte	@CamaraDeputados 
Sandra Pêra	@Dataprev 
Hala Jaber	@SERPRO 
J. Borges	#antaq
J. Borges	@SERPRO 
Realengo	@Petrobras 
Hurst exponent	#ons
Política pública	@SERPRO 
Meridiano (acupuntura)	@AgenciaPF 
Coco Chanel	@SERPRO 
Coco Chanel	@SERPRO 
Centro Universitário Euroamericano	@CNPq_Oficial 
Centro Universitário Euroamericano	@CNPq_Oficial 
Centro Universitário Euroamericano	@CNPq_Oficial 
Centro Universitário Euroamericano	@CNPq_Oficial 
Rafida	@SERPRO 
Hala Jaber	@SERPRO 
Rafida	@SERPRO 
Guilherme de Cássio Alves	@Caixa 
São Pedro do Sul (Rio Grande do Sul)	@AgoraNoPlanalto
Cabala	@Dataprev 
Gilberto Nascimento	@SERPRO 
