verbete	handle
Nelson Freire	@Caixa 
Adidas	@TelebrasBR 
Q6561788	@SERPRO 
Q6561788	@SERPRO 
Q6561788	@SERPRO 
Q6561788	@SERPRO 
As Pupilas do Senhor Reitor (1994)	@TelebrasBR 
The Five Ks	@SERPRO 
Lactuca sativa	@SERPRO 
Sena Madureira	@AgenciaPF 
Malambo (danza)	@TelebrasBR 
Marcos Rotta	@CamaraDeputados 
Bashar al-Assad	@Dataprev 
Paulo Skaf	@TelebrasBR 
Nova Iorque (estado)	@MinSaude 
Moema	@Conab_2015 
Moema	@SERPRO 
Belphegor	@AdvocaciaGeral 
Kátia Abreu	@SERPRO 
Modesto Bría	@SERPRO 
American Pie (filme)	@AdvocaciaGeral 
El Clásico	@CorreiosBR
Medalha do Pacificador	@AgoraNoPlanalto
Cine Drive-in	@ItamaratyGovBR 
Lista de campeões da Fórmula 1	@Caixa 
Lista de campeões da Fórmula 1	@Caixa 
Lista de campeões da Fórmula 1	@Caixa 
Lista de campeões da Fórmula 1	@Caixa 
Lista de campeões da Fórmula 1	@Caixa 
Lista de campeões da Fórmula 1	@Caixa 
Lista de campeões da Fórmula 1	@Caixa 
Roberto Cláudio	@ImprensaBNB 
Encruzilhada do Sul	@ImprensaDPU 
Roberto Cláudio	@ImprensaBNB 
Fernando de Magalhães Furlan	@MDICGov 
Fernando de Magalhães Furlan	@SERPRO 
Bashar al-Assad	@Dataprev 
Bashar al-Assad	@Dataprev 
Guia (religião)	@MPF_PGR 
Banco do Nordeste	@ImprensaBNB 
Banco do Nordeste	@ImprensaBNB 
Vale do Rio Pardo	@ImprensaDPU 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Rock progressivo	@Caixa 
Capitão de Campos	@TelebrasBR 
Ferdinand Lassalle	@TelebrasBR 
Santa Cruz de la Sierra	@TelebrasBR 
Phillip Pannell shooting incident	@SERPRO 
Dislexia	@TST_Oficial 
Dislexia	@TST_Oficial 
São Domingos do Capim	@TelebrasBR 
Iron Maiden	@MPF_PGR 
TV NBR	@TelebrasBR 
Tomás Antônio Gonzaga	@ItamaratyGovBR 
Projeto Rondon	@TelebrasBR 
Alexandre de Gusmão	@ItamaratyGovBR 
Entradas e bandeiras	@ItamaratyGovBR 
Entradas e bandeiras	@ItamaratyGovBR 
Clássico dos Maiorais	@AgoraNoPlanalto
Escrava Mãe	@TelebrasBR 
RMS Queen Mary	@Caixa 
RMS Queen Mary	@Caixa 
RMS Queen Elizabeth	@Caixa 
RMS Queen Elizabeth	@Caixa 
Queen Elizabeth 2	@Caixa 
Emilia Clarke	@Dataprev 
RMS Queen Mary 2	@Caixa 
RMS Queen Mary 2	@Caixa 
MS Oasis of the Seas	@Caixa 
Interlegis	@SenadoFederal 
RuneScape	@CorreiosBR
Janaina Paschoal	@SERPRO 
Janaina Paschoal	@SERPRO 
O Rei do Gado	@TelebrasBR 
Paradoxx Music	@TelebrasBR 
Phillip Pannell shooting incident	@SERPRO 
Vasco Furlan	@MDICGov 
Vasco Furlan	@SERPRO 
Vasco Furlan	@SERPRO 
Fogão industrial	@CamaraDeputados 
Fogão industrial	@CamaraDeputados 
Sadie Hauache	@TelebrasBR 
Chiquititas (1997)	@TelebrasBR 
Combinação (matemática)	@TelebrasBR 
Combinação (matemática)	@TelebrasBR 
Bruxaria	@SERPRO 
Bruxaria	@SERPRO 
Bloco do motor	@CamaraDeputados 
Real (moeda)	@SenadoFederal 
Henrique IV de França	@ItamaratyGovBR 
Arranco (banda)	@SERPRO 
Arranco (banda)	@SERPRO 
Sodoma e Gomorra	@SERPRO 
Sociedade Esportiva Ariquemes	@TelebrasBR 
Julián Carrón	@TelebrasBR 
Julián Carrón	@TelebrasBR 
ERICKSON LUNA	@SERPRO 
ERICKSON LUNA	@SERPRO 
Caminhos do Coração	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Período colonial dos Estados Unidos	@TelebrasBR 
Congresso da República do Peru	#aneel
Congresso da República do Peru	@SERPRO 
Congresso da República do Peru	#aneel
Congresso da República do Peru	@SERPRO 
Itanhaém	@SERPRO 
Parasita	@SERPRO 
TV A Crítica Manaus	@TelebrasBR 
Marianne Steinbrecher	@TelebrasBR 
Yekaterina Gamova	@TelebrasBR 
Vitória pírrica	@Dataprev 
Vitória pírrica	@Dataprev 
Econometria	@Caixa 
Vitória pírrica	@TelebrasBR 
Gim Argello	@SERPRO 
Wellington Fagundes	@SenadoFederal 
Novo Som	@SERPRO 
28 de abril	@CJF_Oficial 
Gim Argello	#ons
28 de abril	@CJF_Oficial 
Dallas Mavericks	@Dataprev 
Heysel Stadium disaster	@CJF_Oficial 
Federação Paranaense de Futebol	@TelebrasBR 
Flávio Bolsonaro	@MPF_PGR 
Análogo solar	@SERPRO 
Romantismo	@MDICGov 
Romantismo	@SERPRO 
Luís Bastos	@SERPRO 
Luís Bastos	@SERPRO 
Cachaça	@ImprensaDPU 
Holofernes	@TelebrasBR 
Piraju	@MPF_PGR 
Campeonato Brasileiro de Futebol de 2016 - Série D	@TelebrasBR 
Campeonato Brasileiro de Futebol de 2016 - Série D	@TelebrasBR 
Campeonato Brasileiro de Futebol de 2016 - Série D	@TelebrasBR 
Renata Agondi	@CamaraDeputados 
Gilberto Occhi	@CamaraDeputados 
Exterior Gateway Protocol	@TCUOficial 
Eletroforese em gel	@TSEJusBR 
Centro de Valorização da Vida	@SERPRO 
SSH	@TCUOficial 
Substantivo	@ImprensaBNB 
Border Gateway Protocol	@TCUOficial 
Caminhos do Coração	@TelebrasBR 
Mefibosete	@Caixa 
Farol da Educação	@TelebrasBR 
Pedro Irujo	#aneel
Pedro Irujo	@SERPRO 
Pedro Irujo	#aneel
Pedro Irujo	@SERPRO 
Fernando José	#aneel
Fernando José	@SERPRO 
Pedro Irujo	#aneel
Pedro Irujo	@SERPRO 
Pedro Irujo	#aneel
Pedro Irujo	@SERPRO 
NCIS (decima terceira temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Águas Claras (Distrito Federal)	@MPF_PGR 
Itália tiago nuvem de lima mulher	@TelebrasBR 
Itália tiago nuvem de lima mulher	@TelebrasBR 
Itália tiago nuvem de lima mulher	@TelebrasBR 
Ford Fusion	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Rogério Duarte	@SERPRO 
El juego de la vida	@TelebrasBR 
Lista de moto clubes	@TelebrasBR 
Velha Surda	@SenadoFederal 
Universidade Federal de Goiás	@Caixa 
Anonymous	@SERPRO 
Coentro	@AgenciaPF 
Zelador	@AgenciaPF 
FAT	@dnpmoficial
FAT	@SERPRO 
Alfie (2004)	@SERPRO 
Diego Alexsander Garcia	@SERPRO 
Variação linguística	@CamaraDeputados 
Catetinho	@TelebrasBR 
Impeachment process against Dilma Rousseff	@SERPRO 
Liberalismo social	@SERPRO 
Força paramilitar	@STJNoticias 
Barra de Guaratiba	@Caixa 
Partido Popular Socialista	@CamaraDeputados 
Partido Popular Socialista	@CamaraDeputados 
Partido Popular Socialista	@CamaraDeputados 
Partido Popular Socialista	@CamaraDeputados 
Transistor (video game)	@AgenciaPF 
Havana	@SERPRO 
Cómplices al rescate	@TelebrasBR 
Phillip Pannell shooting incident	@SERPRO 
Ponto de inflexão	@SERPRO 
Tratado de Methuen	@TelebrasBR 
Sais minerais	@CamaraDeputados 
Tratado de Methuen	@TelebrasBR 
Selo Nacional do Brasil	@CamaraDeputados 
Copa do Brasil de Futebol	@TelebrasBR 
Mario Lemina	@Caixa 
Kwadwo Asamoah	@Caixa 
Simone Padoin	@Caixa 
Claudio Marchisio	@Caixa 
Seleção Italiana de Futebol	@Caixa 
Seleção Alemã de Futebol	@Caixa 
Seleção Alemã de Futebol	@Caixa 
Seleção Espanhola de Futebol	@Caixa 
Seleção Espanhola de Futebol	@Caixa 
Seleção Espanhola de Futebol	@Caixa 
Magnoncourt	@MPT_PGT 
Magnoncourt	@MPF_PGR 
Magnoncourt	@MPT_PGT 
Magnoncourt	@MPF_PGR 
Tree (comando)	@MPT_PGT 
Tree (comando)	@MPF_PGR 
Tree (comando)	@MPT_PGT 
Tree (comando)	@MPF_PGR 
Seleção Inglesa de Futebol	@Caixa 
Seleção Inglesa de Futebol	@Caixa 
Seleção Inglesa de Futebol	@Caixa 
Tree (comando)	@MPT_PGT 
Tree (comando)	@MPF_PGR 
Laméac	@MPT_PGT 
Laméac	@MPF_PGR 
Sebastião Almeida	@CamaraDeputados 
Pai Nosso	@TelebrasBR 
Phillip Pannell shooting incident	@SERPRO 
Space Runaway Ideon	@TelebrasBR 
Pedro Tonon Geromel	@MPF_PGR 
Pavussu	@MPF_PGR 
Pavussu	@MPF_PGR 
Pavussu	@MPF_PGR 
Mestre FIDE	@MPF_PGR 
Ministério das Relações Exteriores (Brasil)	@AgoraNoPlanalto
Ministério das Relações Exteriores (Brasil)	@SERPRO 
Branca Dias	@SERPRO 
Rizzoli &amp; Isles	@SERPRO 
NCIS	@SERPRO 
NCIS	@SERPRO 
Lista de prefeitos de Macapá	@SenadoFederal 
21 de abril	@TelebrasBR 
Pátio	@SERPRO 
Fantastic art	@SERPRO 
Neil deGrasse Tyson	@TST_Oficial 
Sanclerlândia	@Caixa 
Sanclerlândia	@Caixa 
Sanclerlândia	@Caixa 
Câncer	@SERPRO 
Bashar al-Assad	@Dataprev 
Phillip Pannell shooting incident	@SERPRO 
Caminhos do Coração	@TelebrasBR 
Monarquia de Espanha	@SERPRO 
23 de abril	@Dataprev 
23 de abril	@Dataprev 
21 de maio	@Dataprev 
The Flash (2014)	@Caixa 
Cuca (treinador de futebol)	@TelebrasBR 
Carry On Wayward Son	@SERPRO 
Branca Dias	@SERPRO 
Branca Dias	@SERPRO 
Louva-a-deus	@TCUOficial 
Roman Polanski	@Caixa 
O caso da menor abusada por Roman Polanski	@Caixa 
Seleção Argentina de Futebol	@Caixa 
Seleção Argentina de Futebol	@Caixa 
Janez Drnovšek	@SERPRO 
Infanticídio	@ImprensaDPU 
Alessandro Teixeira	@Caixa 
1 de maio	@CJF_Oficial 
3 de maio	@CJF_Oficial 
Diego Alexsander Garcia	@CamaraDeputados 
Politicamente correto	@Caixa 
Nicholas Sparks	@ImprensaDPU 
Caminhos do Coração	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Idade Média	@TelebrasBR 
Nise da Silveira - A Senhora das Imagens	@SERPRO 
Sanclerlândia	@Caixa 
Félix Mendonça Júnior	@CamaraDeputados 
Nossa Senhora da Guia	@SERPRO 
Júlio Cocielo	@MPF_PGR 
Mariana	@SERPRO 
Taubaté	@SERPRO 
Itanhaém	@SERPRO 
Itanhaém	@SERPRO 
Capitania de Itanhaém	@SERPRO 
Sergius Octavius Laenas Pontianus	@SERPRO 
Sergius Octavius Laenas Pontianus	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
NCIS: New Orleans (segunda temporada)	@SERPRO 
Kish Island	@TelebrasBR 
O Guarani (1996)	@SERPRO 
Bashar al-Assad	@Dataprev 
Evolução temporal	@TSEJusBR 
Uber (empresa)	@SERPRO 
Uber (empresa)	@SERPRO 
Uber (empresa)	@SERPRO 
1999	@SERPRO 
NCIS: New Orleans	@SERPRO 
NCIS (decima terceira temporada)	@SERPRO 
Show Maravilha	@SERPRO 
NCIS (decima terceira temporada)	@SERPRO 
NCIS	@SERPRO 
Maurício Muniz Barreto de Carvalho	@SERPRO 
Maurício Muniz Barreto de Carvalho	@SERPRO 
Aeroporto Internacional de Fortaleza	@SERPRO 
Aeroporto de Teresina	@SERPRO 
Aeroporto Internacional de Salvador	@SERPRO 
Shéridan	@CamaraDeputados 
Aeroporto Regional Presidente Itamar Augusto Cautieiro Franco	@SERPRO 
Caminhos do Coração	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Cuiabá	@SERPRO 
Escala diatônica	@SERPRO 
Alessandro Teixeira	@MTurismo 
Alessandro Teixeira	@SERPRO 
Alessandro Teixeira	@MTurismo 
Alessandro Teixeira	@SERPRO 
Piano	@TelebrasBR 
NCIS (decima segunda temporada)	@SERPRO 
NCIS: Los Angeles	@SERPRO 
NCIS: Los Angeles (terceira temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Marketing social	@SenadoFederal 
Raimundo Faoro	@SERPRO 
Lista dos Jogos Olímpicos da Era Moderna	@SERPRO 
Nazareth	@Inep_Imprensa 
Tratado de Windsor (1386)	@CJF_Oficial 
12 de maio	@CJF_Oficial 
Geisy Arruda	@Anvisa_Oficial 
Geisy Arruda	@SERPRO 
Geisy Arruda	@Anvisa_Oficial 
Geisy Arruda	@SERPRO 
14 de maio	@CJF_Oficial 
Lamia	@TelebrasBR 
Tetragrama YHVH	@SERPRO 
16 de maio	@CJF_Oficial 
File:Sunset 20160502 174017.jpg	@SERPRO 
Singapura	@ItamaratyGovBR 
23 de maio	@CJF_Oficial 
Hannibal (TV series)	@SERPRO 
Aloizio Mercadante	@MEC_Comunicacao 
Aloizio Mercadante	@MEC_Comunicacao 
Amor e Intrigas	@TelebrasBR 
Mutantes: Promessas de Amor	@TelebrasBR 
Aura (arte)	@dnpmoficial
Aura (arte)	@SERPRO 
Marcos Abrão	@CamaraDeputados 
NCIS (decima terceira temporada)	@SERPRO 
29 de maio	@CJF_Oficial 
29 de maio	@CJF_Oficial 
Phil X	@SERPRO 
José Hugo Mardini	@MPF_PGR 
Iguatemi Fortaleza	@SERPRO 
Lista de presidentes da Câmara dos Deputados do Brasil	@TelebrasBR 
Lista de jornalistas do Brasil	@STF_Oficial 
Eduardo Cunha	@SERPRO 
Eduardo Cunha	@SERPRO 
Imprensa Nacional	@AgoraNoPlanalto
Imprensa Nacional	@SERPRO 
Imprensa Nacional	@AgoraNoPlanalto
Imprensa Nacional	@SERPRO 
Imprensa Nacional	@AgoraNoPlanalto
Imprensa Nacional	@SERPRO 
Departamento de Polícia Federal	@AgenciaPF 
Teste de Turing	@Caixa 
Poder Legislativo	@TelebrasBR 
Raízen	@SERPRO 
Body count	@CJF_Oficial 
Banco do Nordeste	@ImprensaBNB 
Turismo no Espírito Santo	@ImprensaBNB 
Elon Musk	@STF_Oficial 
Marco Antônio (músico)	@SERPRO 
Steven Universe	@SERPRO 
Agar.io	@Dataprev 
Agar.io	@Dataprev 
Quarta parede	@SERPRO 
Luís Eduardo Magalhães	@CamaraDeputados 
Covariância	@TCUOficial 
Mutantes: Promessas de Amor	@TelebrasBR 
Itaporanga (Paraíba)	@ImprensaBNB 
Dataprev	@Dataprev 
Orbital speed	@INPE_MCT 
Ryūkyū	@Caixa 
Seleção Belga de Futebol	@Caixa 
Seleção Belga de Futebol	@Caixa 
Seleção Belga de Futebol	@Caixa 
Seleção Belga de Futebol	@Caixa 
Ricardo Barros	@MinSaude 
Ministério da Transparência, Fiscalização e Controle	@SERPRO 
Seleção Argelina de Futebol	@Caixa 
Partido da imprensa golpista	@SERPRO 
Domingão do Faustão	@SenadoFederal 
Privatização	@SenadoFederal 
Jequiti	@SenadoFederal 
Dr. 90210	@SenadoFederal 
Superintendência Nacional de Previdência Complementar	@Dataprev 
Indústria cultural	@TSEJusBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ministério do Trabalho e Previdência Social (Brasil)	@TelebrasBR 
Ronaldo Nogueira	@TelebrasBR 
Ronaldo Nogueira	@TelebrasBR 
Tesouro da Trindade	@AgenciaPF 
Tesouro da Trindade	@AgenciaPF 
José Guilherme Merquior	@Caixa 
Serviço Federal de Processamento de Dados	@SERPRO 
Tesouro da Trindade	@AgenciaPF 
Mauro Vieira	@ItamaratyGovBR 
Ministério do Desenvolvimento Social e Combate à Fome	@SERPRO 
KÜD	@Caixa 
KÜD	@Caixa 
KÜD	@Caixa 
Ministério da Cultura (Brasil)	@SERPRO 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
Agronegócio	@MPF_PGR 
Timina	@SERPRO 
Ministério da Cultura (Brasil)	@Caixa 
Lista de emissoras de televisão do Brasil	@Caixa 
Lista de emissoras de televisão do Brasil	@Caixa 
Lista de emissoras de televisão do Brasil	@Caixa 
Lista de emissoras de televisão do Brasil	@Caixa 
Lista de emissoras de televisão do Brasil	@Caixa 
Lista de emissoras de televisão do Brasil	@Caixa 
Balistes capriscus	@SERPRO 
Muçum	@SERPRO 
Muçum	@SERPRO 
Muçum	@SERPRO 
Muçum	@SERPRO 
Guerra Russo-Japonesa	@SERPRO 
Guerra Russo-Japonesa	@SERPRO 
Mato Grosso do Sul	@CNPq_Oficial 
Mato Grosso do Sul	@CNPq_Oficial 
Mato Grosso do Sul	@CNPq_Oficial 
Handball at the 2016 Summer Olympics – Women's tournament	@SERPRO 
Handball at the 2016 Summer Olympics – Women's tournament	@SERPRO 
Jeová	@ImprensaBNB 
Revolta da Chibata	@SERPRO 
Handball at the 2016 Summer Olympics – Women's tournament	@SERPRO 
Handball at the 2016 Summer Olympics – Women's tournament	@SERPRO 
João Cândido	@SERPRO 
João Cândido	@SERPRO 
Honda Civic Si	@CorreiosBR 
2 de junho	@CJF_Oficial 
Tancredo-1	@INPE_MCT 
5 de junho	@CJF_Oficial 
5 de junho	@CJF_Oficial 
Campeonato Sul-Mato-Grossense de Futebol	@Caixa 
Tancredo-1	@INPE_MCT 
Tancredo-1	@INPE_MCT 
Tancredo-1	@INPE_MCT 
Instituto de Educação do Pará	@CorreiosBR 
Isabella Cunha	@TelebrasBR 
File:Câmara dos Deputados (Brasil) - atual.svg	@SERPRO 
Murilo Zauith	@Caixa 
Murilo Zauith	@Caixa 
Murilo Zauith	@Caixa 
Murilo Zauith	@Caixa 
Murilo Zauith	@Caixa 
Brazil at the 2016 Summer Olympics	@AgoraNoPlanalto
Brazil at the 2016 Summer Olympics	@SERPRO 
Centro Universitário da Grande Dourados	@Caixa 
Nivaldo Rossato	@SERPRO 
Nivaldo Rossato	@SERPRO 
Nossa Senhora da Salete	@TelebrasBR 
Steve Jobs	@MEC_Comunicacao 
Telmário Mota	@SenadoFederal 
Telmário Mota	@SenadoFederal 
Miriam Belchior	@Dataprev 
Árvores R	@INPE_MCT 
Aeroporto Internacional do Recife	@SERPRO 
Grabriel, o Fofo	@SERPRO 
Várzea Grande (Mato Grosso)	@SERPRO 
Lista de partidos políticos no Brasil	@ImprensaBNB 
Ordem de Rio Branco	@AgoraNoPlanalto
Ordem de Rio Branco	@SERPRO 
Marshmallow	@SERPRO 
Total cost of ownership	@SERPRO 
Olavo Oliveira	@TelebrasBR 
Antônio Jucá	@TelebrasBR 
Carlos Jereissati	@TelebrasBR 
Antônio Jucá	@TelebrasBR 
Alacoque Bezerra	@TelebrasBR 
Voo British Midland 092	@MinSaude 
Voo British Midland 092	@MinSaude 
Voo British Midland 092	@MinSaude 
Voo British Midland 092	@MinSaude 
Secretário-Geral das Relações Exteriores do Brasil	@ItamaratyGovBR 
Secretário-Geral das Relações Exteriores do Brasil	@ItamaratyGovBR 
Turismo na região Sudeste do Brasil	@TelebrasBR 
Turismo na região Sudeste do Brasil	@TelebrasBR 
Alexandre de Moraes	@SERPRO 
Lista de episódios de Miraculous	@TelebrasBR 
Miraculous: As Aventuras de Ladybug	@TelebrasBR 
Lista de episódios de Miraculous	@TelebrasBR 
Liza Lapira	@Inep_Imprensa 
As Crônicas de Spiderwick: O Guia de Campo	@SERPRO 
As Crônicas de Spiderwick: O Guia de Campo	@SERPRO 
Várzea Grande (Mato Grosso)	@SERPRO 
NCIS (decima segunda temporada)	@SERPRO 
NCIS (decima primeira temporada)	@SERPRO 
NCIS (decima terceira temporada)	@SERPRO 
Laura San Giacomo	@SERPRO 
NCIS (decima terceira temporada)	@SERPRO 
NCIS (decima terceira temporada)	@SERPRO 
Banda X	@TST_Oficial 
Condado de Jefferson (Flórida)	@SERPRO 
Condado de Jefferson (Flórida)	@SERPRO 
Tamgram	@Caixa 
Colecistite	@SERPRO 
Baixo Guandu	@ItamaratyGovBR 
Shéridan	@CamaraDeputados 
Adriano Félix Teixeira	@ImprensaBNB 
Ato de Supremacia	@TelebrasBR 
Adilson Gomes	@ItamaratyGovBR 
Adilson Gomes	@ItamaratyGovBR 
Adilson Gomes	@ItamaratyGovBR 
Adilson Gomes	@ItamaratyGovBR 
Instituto de Educação do Pará	@CorreiosBR 
Tropicalia	@Caixa 
List of longest railway tunnels in the world	@TelebrasBR 
Resma	@SERPRO 
Biomassa	@Codevasf 
Pirassununga	@SERPRO 
Biblioteconomia	@SERPRO 
Pirassununga	@SERPRO 
Asdrúbal da Cunha	@SERPRO 
Pirassununga	@SERPRO 
Cachoeira de Emas	@SERPRO 
Pirassununga	@SERPRO 
Pirassununga	@SERPRO 
Pirassununga	@SERPRO 
Rudolf Steiner	@TelebrasBR 
Instituto de Educação do Pará	@TelebrasBR 
Titan shadow figth	@TelebrasBR 
Christian, o leão	@STJNoticias 
Asdrúbal da Cunha	@SERPRO 
Asdrúbal da Cunha	@SERPRO 
Asdrúbal da Cunha	@SERPRO 
Pirassununga	@SERPRO 
Índia Pale Ale	@CamaraDeputados 
Seleção Brasileira de Futebol	@Caixa 
IEEE 802.11	@SERPRO 
Gilberto Occhi	@Caixa 
Gilberto Occhi	@Caixa 
Miriam Belchior	@Caixa 
Gilberto Occhi	@Caixa 
Instituto de Educação do Pará	@TelebrasBR 
Darío Benedetto	@MEC_Comunicacao 
Aeroporto Internacional de Parnaíba	@SERPRO 
Piquiatuba Transportes Aéreos	@SERPRO 
Aldemir Martins	@Dataprev 
NCIS: Los Angeles	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Lei de ação das massas	@Petrobras 
Lei de ação das massas	@Petrobras 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Lei de ação das massas	@Petrobras 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Recurso natural	@SERPRO 
Paulo Rocha (político)	@SenadoFederal 
Paulo Rocha (político)	@SenadoFederal 
Paulo Rocha (político)	@SenadoFederal 
Races of The Elder Scrolls	@SERPRO 
Instituto de Educação do Pará	@TelebrasBR 
Instituto de Educação do Pará	@TelebrasBR 
Instituto de Educação do Pará	@TelebrasBR 
Instituto de Educação do Pará	@TelebrasBR 
Instituto de Educação do Pará	@TelebrasBR 
Romantismo Urbano	@TelebrasBR 
Jaimie Alexander	@ImprensaDPU 
Lista de telenovelas reprisadas pela Rede Record	@TelebrasBR 
Lista de telenovelas reprisadas pela Rede Record	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Caminhos do Coração	@TelebrasBR 
Bicho do Mato (2006)	@TelebrasBR 
Prova de Amor (telenovela)	@TelebrasBR 
Amor e Intrigas	@TelebrasBR 
Amor e Intrigas	@TelebrasBR 
A Escrava Isaura (2004)	@TelebrasBR 
Uma Janela para o Céu	@TelebrasBR 
Ribeirão do Tempo	@TelebrasBR 
Ribeirão do Tempo	@TelebrasBR 
Ribeirão do Tempo	@TelebrasBR 
Limoeiro do Ajuru	@TelebrasBR 
Lima (sobrenome)	@TelebrasBR 
Colonização do Brasil	@TelebrasBR 
Lista de telenovelas reprisadas pela Rede Record	@TelebrasBR 
Vidas Opostas	@TelebrasBR 
Aeródromo Campo de Fontenelle	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Papa Leão XIII	@STJNoticias 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Guarany Atlético Clube	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
Júlio Almeida	@SERPRO 
Analista de infraestrutura	@SERPRO 
Lista de telenovelas reprisadas pela Rede Record	@TelebrasBR 
Bicho do Mato (2006)	@TelebrasBR 
Mitologia	@ItamaratyGovBR 
Arturo Mina	@TST_Oficial 
Arturo Mina	@TST_Oficial 
Asdrúbal da Cunha	@SERPRO 
Família de Barack Obama	@SERPRO 
Cachoeira de Emas	@SERPRO 
Cachoeira de Emas	@SERPRO 
Pirassununga	@SERPRO 
Cachoeira de Emas	@SERPRO 
Academia da Força Aérea (Brasil)	@SERPRO 
Batalhões de Infantaria da Aeronáutica Especial	@SERPRO 
Batalhões de Infantaria da Aeronáutica Especial	@SERPRO 
Aceleração da gravidade	@Petrobras 
Aceleração da gravidade	@Petrobras 
Justiça Eleitoral do Brasil	@TST_Oficial 
História de Brasília	@CNPq_Oficial 
Terceirização	@SERPRO 
O Menino Maluquinho	@Caixa 
Instituto de Educação do Pará	@CorreiosBR 
Instituto de Educação do Pará	@CorreiosBR 
Secretário-Geral das Relações Exteriores do Brasil	@ItamaratyGovBR 
Cachoeira de Emas	@SERPRO 
Cachoeira de Emas	@SERPRO 
Pirassununga	@SERPRO 
Hiram Bullock	@Caixa 
David Sanborn	@Caixa 
David Sanborn	@Caixa 
David Sanborn	@Caixa 
David Sanborn	@Caixa 
David Sanborn	@Caixa 
Secretário-Geral das Relações Exteriores do Brasil	@ItamaratyGovBR 
Tríade de Virchow	@SERPRO 
Espectroscópio	@INPE_MCT 
Piracanjuba	@ImprensaDPU 
Piracanjuba	@ImprensaDPU 
Catar	@TelebrasBR 
Cachoeira de Emas	@SERPRO 
Academia da Força Aérea (Brasil)	@SERPRO 
Base Aérea de Santos	@SERPRO 
Base Aérea de São Paulo	@SERPRO 
Lista de abreviaturas da FAB	@SERPRO 
Lista de abreviaturas da FAB	@SERPRO 
Lista de abreviaturas da FAB	@SERPRO 
Lista de abreviaturas da FAB	@SERPRO 
Northrop F-5E Tiger II	@SERPRO 
Lista de aeroportos do Brasil	@SERPRO 
Aeródromo Campo de Fontenelle	@SERPRO 
Esquadrão Aeroterrestre de Salvamento	@SERPRO 
Base Aérea de Santos	@SERPRO 
Base Aérea de São Paulo	@SERPRO 
Lista de aeroportos da Região Sudeste do Brasil	@SERPRO 
Lista de aeroportos do Brasil	@SERPRO 
Per fas et nefas	@CJF_Oficial 
Gennaro Gattuso	@STJNoticias 
Red de Seguridad y Defensa de América Latina	@TelebrasBR 
Agência Brasil	@SERPRO 
Agência Brasil	@SERPRO 
Fátima Pelaes	@AgoraNoPlanalto
Fátima Pelaes	@SERPRO 
NCIS	@SERPRO 
50 Greatest Cartoons	@Caixa 
Kadu Moliterno	@SERPRO 
Kadu Moliterno	@SERPRO 
Ramalhonautas	@SERPRO 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
Marina Sirtis	@SERPRO 
2016 World Surf League	@Caixa 
Rede de Emissoras Independentes	@TelebrasBR 
Leandro Fortes	@CamaraDeputados 
Patch Adams	@TelebrasBR 
Lista de telenovelas reprisadas pela Rede Record	@TelebrasBR 
LG G Watch	@TCUOficial 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Lista de gentílicos do Brasil	@ItamaratyGovBR 
Picos	@ItamaratyGovBR 
Presidente Figueiredo	@ItamaratyGovBR 
